iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
280,2025-02-21 01:55:59.969736,1.6356823444366455,120.946987861114,0.0,2.98958729885218,21.1974276759726,1,0,1.0,1.6729127168655396,0.0
281,2025-02-21 01:56:48.454012,1.5985276699066162,120.986462603941,0.0,2.98958100419968,21.1744803111132,1,0,1.0,1.6356823444366455,0.0
282,2025-02-21 01:57:39.663666,1.5614482164382935,121.025898495707,0.0,2.98957471372333,21.1515528591989,1,0,1.0,1.5985276699066162,0.0
283,2025-02-21 01:58:27.406758,1.5244439840316772,121.065293859682,0.0,2.98956842793895,21.1286463043907,1,0,1.0,1.5614482164382935,0.0
284,2025-02-21 01:59:17.861928,1.4875144958496094,121.104657434704,0.0,2.98956214720233,21.105755575806,1,0,1.0,1.5244439840316772,0.0
285,2025-02-21 02:00:08.080575,1.4506597518920898,121.14397750019,0.0,2.98955586761724,21.0828874902326,1,0,1.0,1.4875144958496094,0.0
286,2025-02-21 02:00:55.070668,1.4138792753219604,121.183263313224,0.0,2.98954959549113,21.0600366814778,1,0,1.0,1.4506597518920898,0.0
287,2025-02-21 02:01:42.941089,1.3771729469299316,121.222506901882,0.0,2.98954332387857,21.0372077853509,1,0,1.0,1.4138792753219604,0.0
288,2025-02-21 02:02:34.581718,1.3448435068130493,120.571670470078,0.0,2.98964706307374,21.4154712228842,1,0,1.0,1.3771729469299316,0.0
289,2025-02-21 02:03:26.539668,1.315867304801941,119.842539851495,0.0,2.98976271247586,21.838374724837,1,0,1.0,1.3448435068130493,0.0
290,2025-02-21 02:04:17.336053,1.2869516611099243,119.875033212892,0.0,2.9897575687438,21.8195486595974,1,0,1.0,1.2869516611099243,0.0
291,2025-02-21 02:05:06.102520,1.258102536201477,119.906623564014,0.0,2.98975257227137,21.8012431037876,1,0,1.0,1.2869516611099243,0.0
292,2025-02-21 02:05:55.848652,1.22931969165802,119.938177271441,0.0,2.9897475757332,21.7829571049119,1,0,1.0,1.22931969165802,0.0
293,2025-02-21 02:06:45.322693,1.2006027698516846,119.969690715443,0.0,2.98974258863101,21.7646927280366,1,0,1.0,1.2006027698516846,0.0
294,2025-02-21 02:07:35.047067,1.1719516515731812,120.001152639987,0.0,2.98973760494588,21.7464564964238,1,0,1.0,1.1719516515731812,0.0
