iteration,timestamp,J1,P1F,T1,V1F,P1
198,2026-01-02 14:06:16.057127,68.68390429365219,240.55932024664236,6.600868225097656,141.06128037724375,1
199,2026-01-02 14:06:22.186307,68.70082518773782,239.66747243250836,6.600868225097656,140.57033715175749,1
200,2026-01-02 14:06:28.373763,70.26754655666423,157.09045131512852,6.600868225097656,91.90664164862028,1
201,2026-01-02 14:06:34.526773,-8.66982406932948e-10,0.0,6.600868225097656,-0.008266747073548686,0
202,2026-01-02 14:06:40.703656,60.91717121559136,0.0,6.600868225097656,-8.826698406210198,0
203,2026-01-02 14:06:46.985568,60.83294154660483,0.0,6.600868225097656,-8.814868693320932,0
204,2026-01-02 14:06:53.227091,60.505772375665344,0.0,6.600868225097656,-11.448673288327882,0
205,2026-01-02 14:06:59.280677,60.400551117831725,0.0,6.600868225097656,-11.412262805379214,0
206,2026-01-02 14:07:05.400978,60.29534698311271,0.0,6.600868225097656,-11.37784277375431,0
207,2026-01-02 14:07:11.807617,60.19015922216546,0.0,6.600868225097656,-11.345297301090795,0
208,2026-01-02 14:07:17.960722,60.08498710105237,0.0,6.600868225097656,-11.314524981571594,0
209,2026-01-02 14:07:24.193588,59.979830057359216,0.0,6.600868225097656,-11.28542440937963,0
210,2026-01-02 14:07:30.309407,59.87468733300038,0.0,6.600868225097656,-11.25791156255218,0
211,2026-01-02 14:07:36.518131,59.769558409046404,0.0,6.600868225097656,-11.23188793258123,0
212,2026-01-02 14:07:42.844582,59.66444250802055,0.0,6.600868225097656,-11.207275292122176,0
213,2026-01-02 14:07:49.083517,59.55933925907445,0.0,6.600868225097656,-11.184001208448535,0
214,2026-01-02 14:07:55.260016,59.454247924343896,0.0,6.600868225097656,-11.161990351524764,0
215,2026-01-02 14:08:01.491654,59.34916796757049,0.0,6.600868225097656,-11.141164494006262,0
216,2026-01-02 14:08:07.598121,59.384891673042084,0.0,6.600868225097656,-9.625190988344912,0
217,2026-01-02 14:08:13.851001,59.29155519615316,0.0,6.600868225097656,-9.623003520005113,0
218,2026-01-02 14:08:19.975611,59.19822032869842,0.0,6.600868225097656,-9.620937738645807,0
219,2026-01-02 14:08:26.232184,59.104886490150605,0.0,6.600868225097656,-9.618999438885112,0
220,2026-01-02 14:08:32.701642,59.011554016192605,0.0,6.600868225097656,-9.617168339559612,0
221,2026-01-02 14:08:38.799617,58.91822243239291,0.0,6.600868225097656,-9.615447337978367,0
222,2026-01-02 14:08:44.979475,58.82489197634857,0.0,6.600868225097656,-9.613827742214198,0
223,2026-01-02 14:08:51.038782,58.73156241539716,0.0,6.600868225097656,-9.612309552267106,0
224,2026-01-02 14:08:57.054405,58.63823374804604,0.0,6.600868225097656,-9.610881178900854,0
225,2026-01-02 14:09:03.148977,58.54490595030776,0.0,6.600868225097656,-9.609528135570145,0
226,2026-01-02 14:09:09.450843,58.451578882119584,0.0,6.600868225097656,-9.608262011511215,0
227,2026-01-02 14:09:15.590332,58.358252576484986,0.0,6.600868225097656,-9.607074114796887,0
228,2026-01-02 14:09:21.750575,58.23967836377735,0.0,6.600868225097656,-9.88824347246009,0
229,2026-01-02 14:09:28.027140,58.144158467365315,0.0,6.600868225097656,-9.883703389164111,0
230,2026-01-02 14:09:34.301881,58.04864117249229,0.0,6.600868225097656,-9.879432755610651,0
231,2026-01-02 14:09:40.522066,57.95312643218234,0.0,6.600868225097656,-9.875405496018175,0
232,2026-01-02 14:09:46.728492,57.85761382339076,0.0,6.600868225097656,-9.871615815768564,0
233,2026-01-02 14:09:52.803322,57.762103496743684,0.0,6.600868225097656,-9.868040536389344,0
234,2026-01-02 14:09:59.005783,57.66659530244162,0.0,6.600868225097656,-9.864673863262396,0
235,2026-01-02 14:10:05.120992,57.571089079525876,0.0,6.600868225097656,-9.861504207151484,0
236,2026-01-02 14:10:11.306224,57.47558463155383,0.0,6.600868225097656,-9.858519978820368,0
237,2026-01-02 14:10:17.530587,57.38008195858369,0.0,6.600868225097656,-9.855703794414694,0
238,2026-01-02 14:10:23.988767,57.28458094067682,0.0,6.600868225097656,-9.853052756625402,0
239,2026-01-02 14:10:30.415389,57.1890814392535,0.0,6.600868225097656,-9.850558173525314,0
240,2026-01-02 14:10:36.751964,57.28480968581075,0.0,6.600868225097656,-7.499490380382667,0
241,2026-01-02 14:10:42.942717,57.20728529271516,0.0,6.600868225097656,-7.533556940302333,0
242,2026-01-02 14:10:49.166530,57.12973655605493,0.0,6.600868225097656,-7.565317242210767,0
243,2026-01-02 14:10:55.494925,57.05216628592533,0.0,6.600868225097656,-7.594930638106234,0
244,2026-01-02 14:11:01.636117,56.9745745920676,0.0,6.600868225097656,-7.622547788059819,0
245,2026-01-02 14:11:07.883872,56.896963733640256,0.0,6.600868225097656,-7.648290379052014,0
246,2026-01-02 14:11:14.135531,56.819335310163815,0.0,6.600868225097656,-7.672294584608608,0
247,2026-01-02 14:11:20.265345,56.74169072709592,0.0,6.600868225097656,-7.694661810546677,0
248,2026-01-02 14:11:26.520436,56.664030961249274,0.0,6.600868225097656,-7.715510846537654,0
249,2026-01-02 14:11:32.621982,56.58635747096766,0.0,6.600868225097656,-7.734943098398617,0
250,2026-01-02 14:11:38.903592,56.50867104896902,0.0,6.600868225097656,-7.7530570746375815,0
251,2026-01-02 14:11:45.156150,56.4309728394041,0.0,6.600868225097656,-7.769931002599151,0
252,2026-01-02 14:11:51.308571,56.46538161693905,0.0,6.600868225097656,-6.135944304332952,0
253,2026-01-02 14:11:57.367161,56.4001003531238,0.0,6.600868225097656,-6.1841439378440555,0
254,2026-01-02 14:12:03.564989,56.33478249072442,0.0,6.600868225097656,-6.228611837286735,0
