iteration,timestamp,T2,J4,V4F,V4
378,2026-01-02 15:48:27.284326,6.949626602949863,58.24463534299454,18.579284073894087,1
379,2026-01-02 15:48:30.301721,6.969525785087881,58.264534349483306,18.376139249198786,1
380,2026-01-02 15:48:33.697651,6.989207386485962,58.284215786899004,18.185594821602535,1
381,2026-01-02 15:48:36.814968,7.0086849063771055,58.30369315300559,18.004460853831006,1
382,2026-01-02 15:48:39.695672,7.027968428275108,58.32297653032082,17.832751832429494,1
383,2026-01-02 15:48:42.526845,7.047068035644367,58.341733797458815,-133.27512734122138,1
384,2026-01-02 15:48:45.205098,6.904324888316056,58.19917166139845,-87.44473064837166,1
385,2026-01-02 15:48:47.864652,6.810667978331252,58.10551425245661,-87.59848504553247,1
386,2026-01-02 15:48:50.501207,6.71684638748197,58.01169219193472,-87.74301441064836,1
387,2026-01-02 15:48:53.446633,6.622870005610535,57.91771536789737,-87.87888661629495,1
388,2026-01-02 15:48:56.284908,6.528748096221273,57.82359304219666,-88.00665504850258,1
389,2026-01-02 15:48:59.044328,6.434489343494031,57.72933389750649,-88.12680355788416,1
390,2026-01-02 15:49:01.688851,6.340101905270674,57.63494609019704,-88.2398159950526,1
391,2026-01-02 15:49:04.391927,6.245593428631361,57.54043726598744,-88.34612405905773,1
392,2026-01-02 15:49:06.844208,6.150971090000343,57.445814600023226,-88.44614785971316,1
393,2026-01-02 15:49:09.427791,6.056241625472563,57.35108482722815,-88.54025245796038,1
394,2026-01-02 15:49:11.929610,5.961411368916524,57.256488442528976,60.31784594995315,1
395,2026-01-02 15:49:14.645693,6.026014264409194,57.32109110707394,60.220082050364,1
396,2026-01-02 15:49:17.676203,6.090512450172587,57.3855970557027,63.43564602332208,1
397,2026-01-02 15:49:20.504013,6.158454641089145,57.453538892486264,63.29199164554211,1
398,2026-01-02 15:49:23.416555,6.2262429677457325,57.521326835620556,63.13609613698645,1
399,2026-01-02 15:49:26.478342,6.293864326936086,57.5889477839509,62.968727284555825,1
400,2026-01-02 15:49:29.232622,6.361306426997356,57.65638944776583,62.790603620896945,1
401,2026-01-02 15:49:31.950182,6.42855774693563,57.723640307893234,62.60238283516628,1
402,2026-01-02 15:49:34.998629,6.49560748165859,57.7906895609423,62.40470523266595,1
403,2026-01-02 15:49:37.800878,6.562445491614438,57.857527068943654,62.19813578866251,1
404,2026-01-02 15:49:40.460622,6.629062253266015,57.9241433099052,61.98323078649537,1
405,2026-01-02 15:49:43.340623,6.695448845806352,57.99052936436212,61.760479871395546,1
406,2026-01-02 15:49:46.068509,6.761596864884816,58.05667682929775,61.53036979128501,1
407,2026-01-02 15:49:48.953714,6.827498422391366,58.12257781788309,61.29335252637702,1
408,2026-01-02 15:49:51.644576,6.8931461267996275,58.18820983771173,54.41836552449786,1
409,2026-01-02 15:49:53.983905,6.951430437232706,58.24649363167842,54.179444727537884,1
410,2026-01-02 15:49:56.882459,7.00945885051759,58.3045215203008,53.93581000873837,1
411,2026-01-02 15:49:59.943458,7.067226321149389,58.36206594536214,-89.62625950459824,1
412,2026-01-02 15:50:02.800747,6.97123290541822,58.26607160168953,-89.90608451085791,1
413,2026-01-02 15:50:05.850743,6.874939785457057,58.16977760698602,-90.16921811962675,1
414,2026-01-02 15:50:08.367354,6.778364838533147,58.07320183539997,-90.41669177292988,1
415,2026-01-02 15:50:11.381899,6.681524839252454,57.9763610585075,-90.64951952893807,1
416,2026-01-02 15:50:14.277070,6.584435474396242,57.87927096032064,-90.86861693731407,1
417,2026-01-02 15:50:17.295758,6.4871114425748635,57.78194623684731,-91.07485319077568,1
418,2026-01-02 15:50:20.372883,6.389566521561487,57.68440066346463,-91.26901346007799,1
419,2026-01-02 15:50:23.822901,6.291813646343583,57.586647172823895,-91.45186263481264,1
420,2026-01-02 15:50:26.798789,6.193864938877795,57.48878250187008,-62.5515669315746,1
421,2026-01-02 15:50:29.639474,6.126869633204628,57.4217869311345,-62.66019863744532,1
422,2026-01-02 15:50:32.271829,6.0597579786860685,57.35467503226597,-62.76020215693734,1
423,2026-01-02 15:50:35.401668,5.992539218877119,57.28745604713201,-62.852290228079255,1
424,2026-01-02 15:50:37.879683,5.9252218214685595,57.22035696302479,81.70661874828511,1
425,2026-01-02 15:50:41.459275,6.012732981609619,57.30786736595254,81.45889882371193,1
426,2026-01-02 15:50:45.289725,6.099978819234436,57.39511241979345,81.20180900164087,1
427,2026-01-02 15:50:48.460485,6.186949298988016,57.48208209083554,80.93580995421235,1
428,2026-01-02 15:50:51.420285,6.273634883343784,57.568766843142335,80.66135655894868,1
429,2026-01-02 15:50:54.243593,6.360026516702818,57.65515762255036,80.37885154180913,1
430,2026-01-02 15:50:56.885718,6.446115573522395,57.74124580497537,80.08870052606198,1
431,2026-01-02 15:50:59.466278,6.531893869302471,57.82702320724687,79.79128016188497,1
432,2026-01-02 15:51:02.525155,6.617353617848414,57.91239662389809,44.00119800209268,1
433,2026-01-02 15:51:05.429766,6.664480714783931,57.959523249493735,43.739779600286965,1
434,2026-01-02 15:51:08.017721,6.711327820091964,58.00636988588327,43.47837858233561,1
435,2026-01-02 15:51:10.589556,6.757894952505204,58.05293655193483,43.21707027827415,1
436,2026-01-02 15:51:13.481765,6.804182211266214,58.09922334700948,42.95591553159284,1
437,2026-01-02 15:51:16.027779,6.850189767537869,58.14523044239453,42.69499836425439,1
438,2026-01-02 15:51:18.684163,6.895917869481433,58.19095808634633,42.434368030512815,1
439,2026-01-02 15:51:21.597819,6.941366825938566,58.236406587795756,42.17407957924024,1
