iteration,timestamp,T1,P1F,J1,V1F,P1
242,2026-01-02 15:36:09.702517,6.600868225097656,0.0,57.12973655605493,-7.565317242210767,0
243,2026-01-02 15:36:15.890574,6.600868225097656,0.0,57.05216628592533,-7.594930638106234,0
244,2026-01-02 15:36:22.214562,6.600868225097656,0.0,56.9745745920676,-7.622547788059819,0
245,2026-01-02 15:36:28.255414,6.600868225097656,304.5032795806579,67.47070519604901,193.0794629254251,1
246,2026-01-02 15:36:34.212461,6.600868225097656,303.5215161022642,67.48933204647324,192.38073048882143,1
247,2026-01-02 15:36:40.334803,6.600868225097656,302.543339462217,67.50789084435439,191.68600213333775,1
248,2026-01-02 15:36:46.367515,6.600868225097656,301.56879584795064,67.5263807133853,190.99523729664725,1
249,2026-01-02 15:36:52.364781,6.600868225097656,300.59789342134985,67.5448014987117,190.3084012110412,1
250,2026-01-02 15:36:58.409651,6.600868225097656,299.6306738497795,67.56315240978502,189.6254591088109,1
251,2026-01-02 15:37:04.566577,6.600868225097656,298.6671494591195,67.58143321274814,188.94637042762952,1
252,2026-01-02 15:37:10.781311,6.600868225097656,294.1178470537296,67.66774644124425,187.8202037801202,1
253,2026-01-02 15:37:16.900413,6.600868225097656,293.0466462138898,67.68807017323991,187.06759298424913,1
254,2026-01-02 15:37:22.889634,6.600868225097656,291.9793217733637,67.70832035889595,186.31885299328133,1
255,2026-01-02 15:37:28.977031,6.600868225097656,290.9158878223216,67.7284967308817,185.57396062874432,1
256,2026-01-02 15:37:35.118288,6.600868225097656,289.85634192867457,67.7485993353408,184.83285794445692,1
257,2026-01-02 15:37:41.262781,6.600868225097656,288.8007112612582,67.76862765680308,184.09555073503725,1
258,2026-01-02 15:37:47.275846,6.600868225097656,287.74900439704527,67.7885815325389,183.3620042327766,1
259,2026-01-02 15:37:53.361876,6.600868225097656,286.70122971508835,67.80846080357372,182.63216049149378,1
260,2026-01-02 15:37:59.508456,6.600868225097656,285.6574022161037,67.82826518530128,181.90603110042503,1
261,2026-01-02 15:38:05.497268,6.600868225097656,284.6175298916426,67.84799452609903,181.18356390800727,1
262,2026-01-02 15:38:11.602185,6.600868225097656,283.5816104963159,67.86764886856842,180.4647531196224,1
263,2026-01-02 15:38:17.804393,6.600868225097656,282.5496604361911,67.8872279014396,179.74955237832546,1
264,2026-01-02 15:38:23.754124,6.600868225097656,286.0589623520831,67.82064644539719,179.53583527287265,1
265,2026-01-02 15:38:29.941880,6.600868225097656,285.1899505208584,67.83713407582277,178.9390939097757,1
266,2026-01-02 15:38:36.009192,6.600868225097656,284.3247073454972,67.85355020410897,178.345539586644,1
267,2026-01-02 15:38:41.984205,6.600868225097656,283.46323384790486,67.86989481086735,177.75512594653264,1
268,2026-01-02 15:38:48.204245,6.600868225097656,282.605498411003,67.88616849596394,177.16781242711477,1
269,2026-01-02 15:38:54.358075,6.600868225097656,281.751509986004,67.90237108956877,176.58358164453603,1
270,2026-01-02 15:39:00.693037,6.600868225097656,280.9012745522635,67.91850247823642,176.0024278041783,1
271,2026-01-02 15:39:06.916538,6.600868225097656,280.0547792611965,67.93456290574113,175.42430454909663,1
272,2026-01-02 15:39:13.094883,6.600868225097656,279.2120227748105,67.95055239746841,174.84918870081856,1
273,2026-01-02 15:39:19.348861,6.600868225097656,278.37300367371313,67.96647098034828,174.27707446472596,1
274,2026-01-02 15:39:25.375699,6.600868225097656,277.5377201557976,67.98231868857171,173.7079270731101,1
275,2026-01-02 15:39:31.608883,6.600868225097656,276.70616456250707,67.99809566744344,173.14171755288044,1
276,2026-01-02 15:39:37.634034,6.600868225097656,276.07759902149945,68.01002134666437,172.5943868984814,1
277,2026-01-02 15:39:43.761778,6.600868225097656,275.2608830604539,68.02551677543136,172.03939575892946,1
278,2026-01-02 15:39:50.068166,6.600868225097656,274.4478678740027,68.04094198996003,171.48726136611003,1
279,2026-01-02 15:39:56.140371,6.600868225097656,273.6385400298582,68.05629724509917,170.93796633616876,1
280,2026-01-02 15:40:02.210181,6.600868225097656,272.83291833105335,68.0715821841017,170.39149328525127,1
281,2026-01-02 15:40:08.330268,6.600868225097656,272.03098359452315,68.08679717092497,169.84782482950322,1
282,2026-01-02 15:40:14.449029,6.600868225097656,271.2327307873845,68.10194230105714,169.30694358507026,1
283,2026-01-02 15:40:20.552955,6.600868225097656,270.43815441543995,68.11701767873879,168.76882057886178,1
284,2026-01-02 15:40:26.766818,6.600868225097656,269.6472585512513,68.1320232267018,168.2334616054959,1
285,2026-01-02 15:40:32.841417,6.600868225097656,268.86003242619296,68.1469591492577,167.70083769188204,1
286,2026-01-02 15:40:39.044330,6.600868225097656,268.0764766951901,68.1618254339807,167.17093724878396,1
287,2026-01-02 15:40:45.177527,6.600868225097656,267.2965811277343,68.17662227497264,166.64373130311105,1
288,2026-01-02 15:40:51.323301,6.600868225097656,264.7735088085977,68.22449214560068,165.98936825744204,1
289,2026-01-02 15:40:57.400705,6.600868225097656,263.9337402835597,68.24042494718795,165.41849986424495,1
290,2026-01-02 15:41:03.420547,6.600868225097656,263.0978031087191,68.25628505714566,164.8505925209065,1
291,2026-01-02 15:41:09.758680,6.600868225097656,262.26569718981125,68.27207247726233,164.2856462274267,1
292,2026-01-02 15:41:15.892287,6.600868225097656,261.43741471104005,68.28778735582586,163.7236551891874,1
293,2026-01-02 15:41:21.886172,6.600868225097656,260.61296126572137,68.30342958671513,163.16457884386182,1
294,2026-01-02 15:41:27.874894,6.600868225097656,259.79232173561917,68.31899945676615,162.60839980759556,1
295,2026-01-02 15:41:34.044869,6.600868225097656,258.9754986153041,68.33449691864978,162.0551064911524,1
296,2026-01-02 15:41:40.405987,6.600868225097656,258.1624935433357,68.3499219412779,161.50469309991422,1
297,2026-01-02 15:41:46.487319,6.600868225097656,257.3532904005899,68.36527483047621,160.95711327693607,1
298,2026-01-02 15:41:52.648213,6.600868225097656,256.54790120209884,68.38055535828535,160.41239020069042,1
299,2026-01-02 15:41:58.690796,6.600868225097656,255.74629926775802,68.39576403090287,159.87047171961422,1
300,2026-01-02 15:42:04.868910,6.600868225097656,207.05607515331516,69.31955631047029,116.65725775969804,1
301,2026-01-02 15:42:10.910963,6.600868225097656,0.0,60.50575566342638,12.03118017201632,0
302,2026-01-02 15:42:16.985304,6.600868225097656,0.0,-5.973246686608036e-10,0.010578799702898323,0
