iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
133.0,2024-12-23 14:26:07.501212,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
134.0,2024-12-23 14:26:14.435406,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
135.0,2024-12-23 14:26:21.315541,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
136.0,2024-12-23 14:26:28.183784,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.27212905883789
137.0,2024-12-23 14:26:35.346021,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
138.0,2024-12-23 14:26:42.333118,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.27213478088379
139.0,2024-12-23 14:26:49.296127,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272123336791992
140.0,2024-12-23 14:26:56.110163,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.27212905883789
141.0,2024-12-23 14:27:03.171113,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
142.0,2024-12-23 14:27:10.659361,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.27212905883789
143.0,2024-12-23 14:27:17.849048,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.272117614746094
144.0,2024-12-23 14:27:24.939309,0.0,10.668000221252441,10.668000221252441,1.0,79.04825592041016,78.93042755126953,79.04825592041016,20.27212905883789
145.0,2024-12-23 14:27:32.006312,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.900867462158203
146.0,2024-12-23 14:27:38.975348,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.900867462158203
147.0,2024-12-23 14:27:45.872101,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
148.0,2024-12-23 14:27:53.089197,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.900890350341797
149.0,2024-12-23 14:27:59.838851,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.90087890625
150.0,2024-12-23 14:28:06.940343,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
151.0,2024-12-23 14:28:14.116585,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
152.0,2024-12-23 14:28:21.347039,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.90087890625
153.0,2024-12-23 14:28:28.477192,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.90087890625
154.0,2024-12-23 14:28:35.533408,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
155.0,2024-12-23 14:28:42.671976,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
156.0,2024-12-23 14:28:49.786406,0.0,10.668000221252441,10.668000221252441,1.0,79.07161712646484,78.97802734375,79.07161712646484,17.9008846282959
157.0,2024-12-23 14:28:56.990109,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279109954833984
158.0,2024-12-23 14:29:04.209023,0.0,10.668000221252441,10.668000221252441,1.0,79.08759307861328,79.00910186767578,79.08759307861328,16.279098510742188
