iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
51,2024-11-12 18:19:33.435275,10.668000000000001,10.668000000000001,79.12432844786653,79.07583890709945,79.12432841034116,79.06305311928737,79.12432841034112,0.0,0.0,23.02419642301306,1.0,12.550314214649916,1.0,1
52,2024-11-12 18:19:46.845024,10.668000000000001,10.668000000000001,79.12432848734906,79.07583894658197,79.12432844982371,79.06305315876986,79.12432844982368,0.0,0.0,23.024189072467543,1.0,12.550308420031797,1.0,1
53,2024-11-12 18:19:59.969302,10.668000000000001,10.668000000000001,79.12432858600513,79.0758390452381,79.12432854847985,79.063053257426,79.12432854847981,0.0,0.0,23.024170705457713,1.0,12.550285241559322,1.0,1
54,2024-11-12 18:20:13.617206,10.668000000000001,10.668000000000001,79.12432838868473,79.07583884791764,79.12432835115932,79.0630530601055,79.12432835115925,0.0,0.0,23.024207441012944,1.0,12.550331598504272,1.0,1
55,2024-11-12 18:20:26.363839,10.668000000000001,10.668000000000001,79.12432842811808,79.07583888735094,79.1243283905927,79.06305309953885,79.12432839059264,0.0,0.0,23.024200099622924,1.0,12.550320009268034,1.0,1
56,2024-11-12 18:20:38.680721,10.668000000000001,10.668000000000001,79.12432836890326,79.07583882813618,79.12432833137785,79.06305304032405,79.1243283313778,0.0,0.0,23.0242111237709,1.0,12.550331598504272,1.0,1
57,2024-11-12 18:20:53.184466,10.668000000000001,10.668000000000001,79.1243284675975,79.0758389268304,79.12432843007213,79.0630531390183,79.12432843007207,0.0,0.0,23.02419274965687,1.0,12.550314214649916,1.0,1
58,2024-11-12 18:21:06.290473,10.668000000000001,10.668000000000001,79.12432838865887,79.0758388478918,79.12432835113347,79.06305306007968,79.1243283511334,0.0,0.0,23.024207445828274,1.0,12.550325803886153,1.0,1
59,2024-11-12 18:21:18.311465,10.668000000000001,10.668000000000001,79.12432832946152,79.0758387886944,79.12432829193608,79.06305300088228,79.12432829193601,0.0,0.0,23.02421846672547,1.0,12.55033739312239,1.0,1
60,2024-11-12 18:21:31.995605,10.668000000000001,10.668000000000001,79.12432842811035,79.07583888734325,79.12432839058495,79.06305309953113,79.12432839058489,0.0,0.0,23.02420010106289,1.0,12.550325803886153,1.0,1
61,2024-11-12 18:21:43.852653,10.668000000000001,10.668000000000001,79.05434305674613,78.94308061567806,79.05434299798023,78.91374143979813,79.05434299798017,0.0,0.0,36.05352583709143,1.0,19.654191529525633,1.0,1
